City ID,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed
397,68.75,161.3,-5.84,81,0,3.11
147,43.5167,-8.1528,44.47,87,20,8.05
116,-54.8,-68.3,46.4,76,75,10.36
243,-53.15,-70.9167,48.09,76,75,14.97
220,62.1535,45.1175,-22.05,83,46,8.28
199,-0.7393,-90.3518,77.0,95,54,6.29
468,-33.6971,-53.4616,64.38,88,0,5.23
370,-33.8667,121.9,66.2,77,90,17.27
463,17.1994,-25.0919,68.0,60,75,20.71
150,17.9583,-102.2,71.02,83,0,3.36
69,50.1167,139.15,-4.38,87,99,5.68
472,-37.6167,-73.65,57.04,93,15,4.43
64,6.1241,81.1185,86.0,79,20,13.8
584,19.2167,-104.7,69.3,88,1,2.98
537,57.79,-152.4072,32.0,59,1,8.05
636,10.5669,72.642,81.82,63,27,8.59
139,-3.8333,32.6,67.96,89,100,1.74
526,68.1214,13.5031,32.23,92,70,11.52
402,19.2167,-104.7,69.3,88,1,2.98
417,10.3094,119.0128,87.8,62,20,13.8
135,-28.783,32.0377,77.97,76,66,7.76
255,-28.7667,114.6,75.2,69,75,23.02
317,-33.918,25.5701,69.8,78,0,18.41
376,-22.9661,-42.0278,74.52,83,98,4.54
357,-33.9258,18.4232,68.2,73,75,18.41
